id;nome;tipo;apelido;numero;altura;peso;comprimento
1;lime;RATO;Generic Frozen Tuna;13292;61800;86876;12729
2;transition Lead Electronics;RATO;Car Luxembourg Coves;93361;25352;83962;42004
3;Awesome;GATO;Berkshire alarm;3506;55725;83828;32048
4;system Operations;CAHORRO;B2C Concrete;35680;21417;21749;37021
5;invoice Operative;CAHORRO;paradigms virtual;94984;51428;28682;83838
6;Turks and Caicos Islands Buckinghamshire Principal;MACACO;navigate;38633;93586;95617;19137
7;proactive;GATO;Cambridgeshire;6186;6885;11891;10417
8;Central hacking Pa'anga;CAHORRO;Facilitator Unbranded Wooden Sausages Administrator;7538;5317;27409;22552
9;Technician;RATO;UIC-Franc intermediate Texas;39434;5016;52122;94065
10;optical markets;RATO;Generic Concrete Chicken Hat;79692;61241;59370;71090
